Protein IDs	Itaru contami list	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides CAPD3_4	Peptides CAPD3_5	Peptides CAPH_1	Peptides CAPH_2	Peptides SCC1_2	Peptides SCC1_3	Peptides SCC1_4	Peptides SMC2_1	Peptides SMC2_4	Peptides SMC5_1	Peptides SMC5_3	Razor + unique peptides CAPD3_4	Razor + unique peptides CAPD3_5	Razor + unique peptides CAPH_1	Razor + unique peptides CAPH_2	Razor + unique peptides SCC1_2	Razor + unique peptides SCC1_3	Razor + unique peptides SCC1_4	Razor + unique peptides SMC2_1	Razor + unique peptides SMC2_4	Razor + unique peptides SMC5_1	Razor + unique peptides SMC5_3	Unique peptides CAPD3_4	Unique peptides CAPD3_5	Unique peptides CAPH_1	Unique peptides CAPH_2	Unique peptides SCC1_2	Unique peptides SCC1_3	Unique peptides SCC1_4	Unique peptides SMC2_1	Unique peptides SMC2_4	Unique peptides SMC5_1	Unique peptides SMC5_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Experiment CAPD3_4	Experiment CAPD3_5	Experiment CAPH_1	Experiment CAPH_2	Experiment SCC1_2	Experiment SCC1_3	Experiment SCC1_4	Experiment SMC2_1	Experiment SMC2_4	Experiment SMC5_1	Experiment SMC5_3	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L CAPD3_4	Ratio H/L normalized CAPD3_4	Ratio H/L variability [%] CAPD3_4	Ratio H/L count CAPD3_4	Ratio H/L CAPD3_5	Ratio H/L normalized CAPD3_5	Ratio H/L variability [%] CAPD3_5	Ratio H/L count CAPD3_5	Ratio H/L CAPH_1	Ratio H/L normalized CAPH_1	Ratio H/L variability [%] CAPH_1	Ratio H/L count CAPH_1	Ratio H/L CAPH_2	Ratio H/L normalized CAPH_2	Ratio H/L variability [%] CAPH_2	Ratio H/L count CAPH_2	Ratio H/L SCC1_2	Ratio H/L normalized SCC1_2	Ratio H/L variability [%] SCC1_2	Ratio H/L count SCC1_2	Ratio H/L SCC1_3	Ratio H/L normalized SCC1_3	Ratio H/L variability [%] SCC1_3	Ratio H/L count SCC1_3	Ratio H/L SCC1_4	Ratio H/L normalized SCC1_4	Ratio H/L variability [%] SCC1_4	Ratio H/L count SCC1_4	Ratio H/L SMC2_1	Ratio H/L normalized SMC2_1	Ratio H/L variability [%] SMC2_1	Ratio H/L count SMC2_1	Ratio H/L SMC2_4	Ratio H/L normalized SMC2_4	Ratio H/L variability [%] SMC2_4	Ratio H/L count SMC2_4	Ratio H/L SMC5_1	Ratio H/L normalized SMC5_1	Ratio H/L variability [%] SMC5_1	Ratio H/L count SMC5_1	Ratio H/L SMC5_3	Ratio H/L normalized SMC5_3	Ratio H/L variability [%] SMC5_3	Ratio H/L count SMC5_3	Sequence coverage CAPD3_4 [%]	Sequence coverage CAPD3_5 [%]	Sequence coverage CAPH_1 [%]	Sequence coverage CAPH_2 [%]	Sequence coverage SCC1_2 [%]	Sequence coverage SCC1_3 [%]	Sequence coverage SCC1_4 [%]	Sequence coverage SMC2_1 [%]	Sequence coverage SMC2_4 [%]	Sequence coverage SMC5_1 [%]	Sequence coverage SMC5_3 [%]	Intensity	Intensity L	Intensity H	Intensity CAPD3_4	Intensity L CAPD3_4	Intensity H CAPD3_4	Intensity CAPD3_5	Intensity L CAPD3_5	Intensity H CAPD3_5	Intensity CAPH_1	Intensity L CAPH_1	Intensity H CAPH_1	Intensity CAPH_2	Intensity L CAPH_2	Intensity H CAPH_2	Intensity SCC1_2	Intensity L SCC1_2	Intensity H SCC1_2	Intensity SCC1_3	Intensity L SCC1_3	Intensity H SCC1_3	Intensity SCC1_4	Intensity L SCC1_4	Intensity H SCC1_4	Intensity SMC2_1	Intensity L SMC2_1	Intensity H SMC2_1	Intensity SMC2_4	Intensity L SMC2_4	Intensity H SMC2_4	Intensity SMC5_1	Intensity L SMC5_1	Intensity H SMC5_1	Intensity SMC5_3	Intensity L SMC5_3	Intensity H SMC5_3
E1C7K7		E1C7K7	1	1	1		NAALAD2	>tr|E1C7K7|E1C7K7_CHICK NAALAD2 OS=Gallus gallus GN=NAALAD2 PE=4 SV=1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1.5	1.5	1.5	83.626	740	740											2	0.024385	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E1C7K8		E1C7K8	1	1	1			>tr|E1C7K8|E1C7K8_CHICK NDUFAF4 OS=Gallus gallus GN=NDUFAF4 PE=4 SV=2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	8.1	8.1	8.1	19.957	173	173											1	0.00020568	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	8.1	4984300	3276200	1708100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4984300	3276200	1708100
E1C7L3		E1C7L3	6	6	6		SQRDL	>tr|E1C7L3|E1C7L3_CHICK SQRDL OS=Gallus gallus GN=SQRDL PE=4 SV=1	1	6	6	6	2	1	4	4	0	0	2	1	2	0	1	2	1	4	4	0	0	2	1	2	0	1	2	1	4	4	0	0	2	1	2	0	1	17.1	17.1	17.1	49.972	450	450	2	1	5	5			2	1	2		1	3.07E-53	0.39976	0.42612	62.238	18	0.26851	0.32806	4.1801	2	NA	NA	NA	1	0.59356	0.56516	40.932	4	0.22707	0.22803	48.457	5	NA	NA	NA	0	NA	NA	NA	0	0.66006	0.80116	3.968	2	NA	NA	NA	1	0.71195	0.55084	10.536	2	NA	NA	NA	0	NA	NA	NA	1	6	3.1	12	10.9	0	0	6	4.7	6	0	3.1	695750000	487340000	208410000	80668000	59127000	21541000	46108000	35188000	10921000	330740000	218590000	112150000	154790000	125550000	29242000	0	0	0	0	0	0	42482000	25273000	17208000	476580	262910	213670	38611000	22004000	16607000	0	0	0	1866900	1343500	523410
E1C7L7;R4GIC8		E1C7L7;R4GIC8	88;75	88;75	88;75			>tr|E1C7L7|E1C7L7_CHICK ARHGAP11A OS=Gallus gallus GN=ARHGAP11A PE=4 SV=2;>tr|R4GIC8|R4GIC8_CHICK ARHGAP11A OS=Gallus gallus GN=ARHGAP11A PE=4 SV=1	2	88	88	88	40	45	65	66	4	26	33	47	31	29	36	40	45	65	66	4	26	33	47	31	29	36	40	45	65	66	4	26	33	47	31	29	36	64.3	64.3	64.3	108.88	992	992;838	84	122	209	270	5	55	66	70	63	54	64	0	1.0897	1.178	33.904	929	1.4047	1.7428	14.91	67	1.2806	1.3669	24.796	104	1.3528	1.2339	25.548	183	1.0392	1.0334	15.536	225	0.56317	0.99467	25.664	4	0.64096	1.131	13.323	55	0.89601	1.0993	43.38	58	0.95708	1.2775	24.23	68	3.5848	2.7459	56.344	52	1.0176	1.3157	10.734	53	0.57024	0.94941	28.117	60	50.1	48.8	58	58.7	5.5	36	42.3	48.8	41.8	42.2	41.2	2.42E+11	1.07E+11	1.35E+11	27924000000	11564000000	16360000000	38383000000	16204000000	22179000000	68122000000	28123000000	39999000000	58011000000	28133000000	29878000000	10413000	6998400	3414900	740300000	440110000	300190000	17369000000	7623700000	9745200000	362170000	179970000	182200000	11475000000	2592200000	8882500000	660760000	325840000	334920000	19120000000	12046000000	7073600000
E1C7M7;R4GG31		E1C7M7	7;1	7;1	7;1		CTNNA1	>tr|E1C7M7|E1C7M7_CHICK CTNNA1 OS=Gallus gallus GN=CTNNA1 PE=4 SV=2	2	7	7	7	0	0	5	4	0	0	1	0	0	0	0	0	0	5	4	0	0	1	0	0	0	0	0	0	5	4	0	0	1	0	0	0	0	24.5	24.5	24.5	56.718	514	514;125			8	6			1					4.42E-102	0.92379	0.85654	18.696	10	NA	NA	NA	0	NA	NA	NA	0	0.93205	0.83187	21.858	7	0.91561	0.90496	10.442	3	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	0	0	20.4	13.8	0	0	4.3	0	0	0	0	628870000	311370000	317500000	0	0	0	0	0	0	577160000	285780000	291380000	51703000	25590000	26113000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E1C7N2		E1C7N2	4	2	2		DYNC1I1	>tr|E1C7N2|E1C7N2_CHICK DYNC1I1 OS=Gallus gallus GN=DYNC1I1 PE=4 SV=2	1	4	2	2	0	0	4	2	0	1	1	1	1	0	2	0	0	2	1	0	1	1	0	1	0	2	0	0	2	1	0	1	1	0	1	0	2	8.3	6.8	6.8	70.715	628	628			3	2		1	1		1		2	7.76E-102	0.8713	1.0044	24.348	10	NA	NA	NA	0	NA	NA	NA	0	0.78484	0.73377	42.963	3	1.0396	0.99969	10.948	2	NA	NA	NA	0	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	1	NA	NA	NA	0	0.60683	0.96733	16.709	2	0	0	8.3	6.7	0	5.4	1.4	1.3	1.4	0	6.8	2600700000	1404700000	1195900000	0	0	0	0	0	0	385260000	195680000	189580000	10667000	4307700	6359700	0	0	0	2612300	1464700	1147600	605360000	289920000	315440000	0	0	0	465790000	208600000	257190000	0	0	0	1131000000	704780000	426190000
E1C7P7		E1C7P7	2	2	2		ABHD6	>tr|E1C7P7|E1C7P7_CHICK ABHD6 OS=Gallus gallus GN=ABHD6 PE=4 SV=1	1	2	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	9.5	9.5	9.5	38.391	338	338											2	1.40E-08	0.20324	0.33017	58.876	2	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	0.20324	0.33017	58.876	2	0	0	0	0	0	0	0	0	0	0	9.5	24700000	21610000	3089400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24700000	21610000	3089400
E1C7R3		E1C7R3	9	9	9		KSR1	>tr|E1C7R3|E1C7R3_CHICK KSR1_	1	9	9	9	0	0	3	4	0	0	1	1	0	0	1	0	0	3	4	0	0	1	1	0	0	1	0	0	3	4	0	0	1	1	0	0	1	15.6	15.6	15.6	104.41	930	930			4	5			1	1			1	4.34E-22	0.79499	0.95903	47.21	5	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	0.57103	0.57282	47.067	3	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	0	0	6.2	9	0	0	1.8	1.7	0	0	1.7	325130000	150010000	175120000	0	0	0	0	0	0	41132000	23597000	17536000	257970000	113940000	144030000	0	0	0	0	0	0	13142000	0	13142000	1161000	749660	411330	0	0	0	0	0	0	11724000	11724000	0
E1C7R4;Q5ZIJ0;F1NPB3		E1C7R4;Q5ZIJ0;F1NPB3	17;16;10	17;16;10	17;16;10	BUD13 homolog	BUD13	>tr|E1C7R4|E1C7R4_CHICK BUD13 homolog OS=Gallus gallus GN=BUD13 PE=2 SV=2;>sp|Q5ZIJ0|BUD13_CHICK BUD13 homolog OS=Gallus gallus GN=BUD13 PE=2 SV=1;>tr|F1NPB3|F1NPB3_CHICK Uncharacterized protein OS=Gallus gallus GN=LOC770165 PE=2 SV=2	3	17	17	17	4	3	14	7	5	2	5	6	5	1	5	4	3	14	7	5	2	5	6	5	1	5	4	3	14	7	5	2	5	6	5	1	5	33.5	33.5	33.5	65.13	564	564;559;224	5	7	35	19	19	2	7	8	7	1	6	6.36E-216	0.7996	0.85694	36.831	89	0.87592	1.056	41.062	3	0.98699	1.017	21.556	4	0.99635	0.88176	34.749	29	0.82527	0.80818	34.461	17	0.46233	0.81241	39.102	12	0.39582	0.66745	4.6011	2	0.82576	0.96267	43.169	4	0.35249	0.50805	19.932	8	1.2947	1.0307	26.12	4	NA	NA	NA	1	0.63899	1.0695	19.939	5	6.9	5.5	32.1	14.4	10.3	3.9	10.6	15.1	10.8	2	10.3	8924800000	4452700000	4472100000	287510000	130760000	156750000	182880000	89929000	92952000	5509800000	2679200000	2830600000	1374600000	695950000	678680000	16029000	9626800	6402000	9716900	6809000	2907900	368640000	192890000	175750000	76975000	56787000	20188000	363360000	144910000	218460000	1102300	790580	311740	734170000	445120000	289050000
E1C7R6		E1C7R6	8	8	8		ATXN10	>tr|E1C7R6|E1C7R6_CHICK ATXN10 OS=Gallus gallus GN=ATXN10 PE=4 SV=2	1	8	8	8	2	0	0	2	0	0	2	4	4	0	2	2	0	0	2	0	0	2	4	4	0	2	2	0	0	2	0	0	2	4	4	0	2	26.3	26.3	26.3	46.714	414	414	3			2			3	5	8		3	1.26E-84	0.85641	0.78238	37.09	16	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	0.45619	0.4704	19.198	2	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	0.85446	1.046	14.207	5	1.0201	0.79156	8.6063	5	NA	NA	NA	0	0.37963	0.65405	16.08	3	5.6	0	0	6.5	0	0	5.6	14.3	12.1	0	7.2	365320000	216990000	148340000	0	0	0	0	0	0	0	0	0	102450000	67003000	35450000	0	0	0	0	0	0	8316900	3599100	4717800	5467100	2960700	2506300	134910000	65455000	69454000	0	0	0	114180000	77968000	36211000
E1C7R9		E1C7R9	8	8	8			>tr|E1C7R9|E1C7R9_CHICK MLL5 OS=Gallus gallus GN=MLL5 PE=4 SV=2	1	8	8	8	0	0	6	2	0	0	0	0	0	0	1	0	0	6	2	0	0	0	0	0	0	1	0	0	6	2	0	0	0	0	0	0	1	8.3	8.3	8.3	203.48	1853	1853			8	2							1	4.69E-24	2.2353	2.0083	41.678	5	NA	NA	NA	0	NA	NA	NA	0	2.2353	2.0083	41.678	5	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	0	0	6.3	2.8	0	0	0	0	0	0	0.7	200800000	120440000	80364000	0	0	0	0	0	0	105570000	25203000	80364000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95234000	95234000	0
E1C7S2		E1C7S2	10	10	10		LOC100858057	>tr|E1C7S2|E1C7S2_CHICK Uncharacterized protein OS=Gallus gallus GN=LOC100858057 PE=4 SV=2	1	10	10	10	0	2	3	6	0	0	1	5	0	0	3	0	2	3	6	0	0	1	5	0	0	3	0	2	3	6	0	0	1	5	0	0	3	37.3	37.3	37.3	44.234	413	413		3	3	12			1	6			4	3.68E-43	0.45484	0.64638	86.904	19	NA	NA	NA	0	0.5275	0.57028	73.029	2	NA	NA	NA	1	0.43571	0.41332	88.072	8	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	1.2976	1.7997	49.446	4	NA	NA	NA	0	NA	NA	NA	0	0.35941	0.61813	12.829	4	0	8.5	9.7	24.9	0	0	4.4	19.4	0	0	13.3	809230000	512470000	296760000	0	0	0	85779000	42624000	43155000	41776000	26255000	15521000	524340000	335780000	188560000	0	0	0	0	0	0	0	0	0	9059700	3704400	5355300	0	0	0	0	0	0	148270000	104110000	44162000
E1C7T7		E1C7T7	16	16	16	Mitochondrial GTPase 1	MTG1	>tr|E1C7T7|E1C7T7_CHICK Mitochondrial GTPase 1 OS=Gallus gallus GN=MTG1 PE=3 SV=2	1	16	16	16	8	11	3	7	0	1	5	2	4	1	9	8	11	3	7	0	1	5	2	4	1	9	8	11	3	7	0	1	5	2	4	1	9	52.4	52.4	52.4	36.679	332	332	13	22	6	23		2	5	2	11	3	20	3.42E-154	0.79962	0.92972	42.557	80	0.76032	0.92538	4.1937	8	0.6716	0.70138	28.512	18	2.0941	1.8977	7.6828	4	1.3904	1.3598	29.569	19	NA	NA	NA	0	0.63921	1.0757	49.548	2	0.88093	1.0472	18.121	4	1.091	1.3792	9.4393	2	1.7951	1.4584	25.021	6	0.67948	0.87747	1.8019	3	0.41145	0.69291	46.522	14	28.9	37.3	11.1	27.4	0	5.7	13.6	12.7	14.8	5.7	33.7	12116000000	7187100000	4929000000	1976900000	1117700000	859170000	4862300000	2799700000	2062600000	352510000	124030000	228480000	948980000	406950000	542030000	0	0	0	3287600	2238400	1049200	245020000	124000000	121020000	357900	157340	200560	121510000	42892000	78620000	6180200	3589200	2590900	3599000000	2565800000	1033200000
E1C7T8		E1C7T8	46	41	41	Coatomer subunit gamma	COPG2	>tr|E1C7T8|E1C7T8_CHICK Coatomer subunit gamma OS=Gallus gallus GN=COPG2 PE=3 SV=1	1	46	41	41	7	4	14	15	0	10	14	18	21	7	27	5	2	11	11	0	6	10	15	16	4	23	5	2	11	11	0	6	10	15	16	4	23	67.9	64.8	64.8	97.557	871	871	6	3	15	18		8	18	21	30	5	40	0	0.78505	0.98641	34.666	134	0.92928	1.0866	32.937	4	NA	NA	NA	0	0.88308	0.83364	35.853	13	1.3279	1.316	14.973	16	NA	NA	NA	0	0.88853	1.5252	18.958	8	1.408	1.6109	59.285	13	0.68954	0.9228	21.787	21	1.1025	0.85257	28.498	19	0.77077	0.95638	17.108	5	0.57984	0.97828	18.776	35	10.1	6.5	20.2	20	0	13.1	18.9	36.3	28.9	10.6	37.5	9222000000	5168600000	4053400000	200800000	98384000	102420000	0	0	0	1174200000	649440000	524720000	897550000	392130000	505420000	0	0	0	28753000	17679000	11074000	1270100000	675100000	595030000	58973000	36679000	22293000	1363400000	650660000	712730000	3514800	1863400	1651300	4224700000	2646700000	1578000000
E1C7U4		E1C7U4	2	2	2		TMCO6	>tr|E1C7U4|E1C7U4_CHICK TMCO6 OS=Gallus gallus GN=TMCO6 PE=4 SV=2	1	2	2	2	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	8.2	8.2	8.2	53.68	486	486			1					1			1	1.97E-16	0.39596	0.65836	59.644	3	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	0	0	4.3	0	0	0	0	4.3	0	0	3.9	36816000	29447000	7369100	0	0	0	0	0	0	7200900	5546400	1654500	0	0	0	0	0	0	0	0	0	0	0	0	212930	154380	58556	0	0	0	0	0	0	29403000	23747000	5656100
E1C7U7		E1C7U7	81	81	80		CEP135	>tr|E1C7U7|E1C7U7_CHICK CEP135 OS=Gallus gallus GN=CEP135 PE=4 SV=2	1	81	81	80	18	29	39	54	0	10	17	7	18	4	24	18	29	39	54	0	10	17	7	18	4	24	18	29	39	54	0	10	17	7	18	3	24	68.1	68.1	67.4	134.71	1160	1160	23	48	74	130		11	23	9	28	4	37	0	0.96867	1.0566	51.887	296	1.2425	1.5167	21.663	16	0.84473	0.90624	73.641	30	1.5377	1.4008	50.766	59	0.93895	0.94207	36.519	104	NA	NA	NA	0	0.46833	0.81258	24.049	10	0.83581	0.97959	34.56	15	1.0482	1.5128	15.778	9	2.9121	2.2621	88.459	19	0.82796	1.1097	19.231	4	0.83829	1.4262	26.095	30	22.2	28.5	43.4	49.4	0	11	18	11.5	18.1	4.7	25.4	25436000000	12645000000	12791000000	1339200000	570500000	768690000	3990400000	1681700000	2308700000	4947100000	2330800000	2616200000	8802600000	4653400000	4149300000	0	0	0	80153000	56725000	23428000	1334200000	792770000	541380000	26698000	12002000	14696000	1686900000	783540000	903320000	58817000	31509000	27308000	3169600000	1731900000	1437700000
E1C7U8		E1C7U8	5	5	5		C1H3orf38	>tr|E1C7U8|E1C7U8_CHICK Uncharacterized protein OS=Gallus gallus GN=C1H3orf38 PE=4 SV=2	1	5	5	5	0	0	0	1	0	0	0	1	1	0	3	0	0	0	1	0	0	0	1	1	0	3	0	0	0	1	0	0	0	1	1	0	3	22.4	22.4	22.4	36.339	317	317				1				1	1		3	1.73E-18	1.0358	0.90303	44.776	5	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	0	0.65127	1.0808	62.418	2	0	0	0	6	0	0	0	6.9	2.5	0	13.9	195970000	110770000	85197000	0	0	0	0	0	0	0	0	0	20319000	11437000	8881700	0	0	0	0	0	0	0	0	0	1894700	1058200	836480	46885000	23003000	23882000	0	0	0	126870000	75274000	51596000
E1C7U9		E1C7U9	13	13	13		PRKRIR	>tr|E1C7U9|E1C7U9_CHICK PRKRIR OS=Gallus gallus GN=PRKRIR PE=4 SV=2	1	13	13	13	0	0	4	4	0	0	0	1	1	1	5	0	0	4	4	0	0	0	1	1	1	5	0	0	4	4	0	0	0	1	1	1	5	18.5	18.5	18.5	101.4	893	893			5	6				1	1	1	6	1.48E-70	0.9226	0.91723	51.65	11	NA	NA	NA	0	NA	NA	NA	0	1.8424	1.6697	25.325	3	0.97883	0.91723	14.717	3	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	1	0.47552	0.81588	47.229	3	0	0	7.6	7.2	0	0	0	3.5	1.1	2.2	6.6	150910000	74424000	76482000	0	0	0	0	0	0	81289000	32131000	49157000	31238000	15268000	15970000	0	0	0	0	0	0	0	0	0	523710	342330	181380	0	0	0	751720	415670	336050	37104000	26267000	10837000
E1C7V7		E1C7V7	50	50	50		C1H11orf30	>tr|E1C7V7|E1C7V7_CHICK Uncharacterized protein OS=Gallus gallus PE=4 SV=2	1	50	50	50	21	27	32	31	1	3	16	16	16	5	31	21	27	32	31	1	3	16	16	16	5	31	21	27	32	31	1	3	16	16	16	5	31	43.8	43.8	43.8	138.53	1296	1296	40	56	71	75	2	3	20	21	21	7	55	0	0.93043	1.0463	28.743	315	0.81045	0.95603	13.074	34	1.0156	1.0603	19.473	44	1.2705	1.1951	30.12	65	0.97363	0.94954	24.938	63	0.56536	1.0371	18.525	2	0.39567	0.67396	31.096	2	0.66794	0.78582	38.676	17	0.80028	1.0358	23.765	20	2.0336	1.5778	20.442	16	0.51486	0.66893	25.84	5	0.67181	1.1237	22.635	47	20.5	27.2	32.9	30.9	0.9	2.8	17.2	19.1	19	5.3	31.3	55154000000	26771000000	28383000000	4357400000	2429800000	1927600000	10357000000	5107400000	5249200000	18611000000	7716200000	10895000000	7006000000	3541900000	3464100000	372730	243760	128960	14473000	9807300	4665400	2535100000	1524900000	1010100000	75120000	41074000	34046000	3309100000	1086500000	2222600000	27856000	17744000	10113000	8861700000	5295800000	3565900000
E1C7W2		E1C7W2	4	4	4		THAP1	>tr|E1C7W2|E1C7W2_CHICK THAP1 OS=Gallus gallus GN=THAP1 PE=4 SV=1	1	4	4	4	0	1	3	1	1	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	14.5	14.5	14.5	25.087	214	214		1	4	1	3							2.25E-17	0.7486	0.75601	75.018	7	NA	NA	NA	0	NA	NA	NA	1	1.5418	1.4511	13.07	2	NA	NA	NA	1	0.22528	0.37558	24.935	3	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	0	4.7	14.5	4.2	4.7	0	0	0	0	0	0	127950000	58960000	68991000	0	0	0	44494000	20604000	23890000	63012000	26001000	37011000	16795000	9245500	7549800	3648700	3109200	539430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E1C7X0		E1C7X0	12	12	12		LOC100857144	>tr|E1C7X0|E1C7X0_CHICK Uncharacterized protein OS=Gallus gallus GN=LOC100857144 PE=4 SV=2	1	12	12	12	4	6	5	4	0	0	5	0	4	0	5	4	6	5	4	0	0	5	0	4	0	5	4	6	5	4	0	0	5	0	4	0	5	35.2	35.2	35.2	60.375	532	532	4	7	8	5			8		6		10	9.57E-59	0.84639	1.1011	34.977	33	1.2206	1.454	86.852	3	0.88455	0.98453	26.728	5	0.88842	0.81729	28.794	5	0.84353	0.8231	33.39	4	NA	NA	NA	0	NA	NA	NA	0	0.84494	0.99306	28.988	5	NA	NA	NA	0	1.8745	1.4895	24.447	3	NA	NA	NA	0	0.78046	1.2916	17.43	8	12.4	20.1	18	14.3	0	0	12.8	0	9.8	0	14.1	1908400000	1017500000	890870000	142270000	72259000	70014000	328470000	162330000	166140000	472830000	245890000	226950000	101370000	50626000	50746000	0	0	0	0	0	0	251930000	140050000	111870000	0	0	0	161500000	81710000	79793000	0	0	0	450030000	264680000	185360000
E1C7X6;R4GKE2;R4GID0;H9L1S0;H9L285;H9L3Q8;H9L263;H9L2A1;E1C7X4;H9L1T0;H9L1P3;H9L1H9		E1C7X6;R4GKE2;R4GID0;H9L1S0;H9L285;H9L3Q8;H9L263;H9L2A1;E1C7X4;H9L1T0;H9L1P3;H9L1H9	1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1			>tr|E1C7X6|E1C7X6_CHICK Uncharacterized protein OS=Gallus gallus PE=4 SV=2;>tr|R4GKE2|R4GKE2_CHICK Uncharacterized protein (Fragment) OS=Gallus gallus PE=4 SV=1;>tr|R4GID0|R4GID0_CHICK Uncharacterized protein OS=Gallus gallus PE=4 SV=1;>tr|H9L1S0|H9L1S0_CH	12	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5.8	5.8	5.8	19.604	171	171;280;340;346;381;419;421;423;438;496;501;502				3								0.00010443	0.64766	0.65859	4.8325	2	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	0.64766	0.65859	4.8325	2	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	0	0	0	5.8	0	0	0	0	0	0	0	41949000	25840000	16108000	0	0	0	0	0	0	0	0	0	41949000	25840000	16108000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
